"att1";"date";"quarter";"department";"day";"team";"targeted_productivity";"smv";"wip";"over_time";"hsu";"incentive";"idle_time";"idle_men";"no_of_style_change";"no_of_workers";"work_cond_f1";"work_cond_f2";"work_cond_f3";"work_cond_f4";"work_cond_f5";"actual_productivity"
0;1/10/15 12:00 AM;"Quarter2";"sweing";"Saturday";8;0.8;25.9;1158.0;10170.0;4.03;60.0;0.0;0.0;0.0;56.5;0.11921212948483206;30.610905345175155;857.991516827729;30.730117474659988;858.1107289572138;0.850136766
1;1/18/15 12:00 AM;"Quarter3";"finishing ";"Sunday";5;0.6;4.15;1186.417033773862;1440.0;8.8;0.0;0.0;0.0;0.0;8.0;0.9525548164272063;50.583406098551414;908.6205999278392;51.535960914978624;909.5731547442664;0.8527935609999999
2;1/25/15 12:00 AM;"Quarter4";"sweing";"Sunday";6;0.8;11.61;1181.0;5760.0;6.16;63.0;0.0;0.0;0.0;32.0;0.03239070596101756;56.541015911722226;924.9571498114774;56.57340661768325;924.9895405174384;0.8003863640000001
3;3/11/15 12:00 AM;"Quarter2";"sweing";"Wednesday";1;0.75;26.82;1322.0;7080.0;0.0;45.0;0.0;0.0;0.0;59.0;0.9397831711233074;34.39284780297503;833.0658499212607;35.332630974098336;834.005633092384;0.750050847
4;2/17/15 12:00 AM;"Quarter3";"finishing";"Tuesday";3;0.5;5.13;1186.417033773862;1800.0;1.62;0.0;0.0;0.0;0.0;15.0;0.2572885984476473;30.695846119876332;818.4128978853414;30.95313471832398;818.670186483789;0.7866
5;2/10/15 12:00 AM;"Quarter2";"sweing";"Tuesday";13;0.8;15.26;900.0;4080.0;0.86;50.0;0.0;0.0;0.0;34.0;0.469918482915501;55.86807868452442;835.2943628704552;56.33799716743992;835.7642813533707;0.999999
6;1/12/15 12:00 AM;"Quarter2";"sweing";"Monday";10;0.8;50.48;381.0;6930.0;0.0;45.0;0.0;0.0;0.0;58.5;0.22900020560813905;23.565968009588794;837.1612892871891;23.79496821519693;837.3902894927973;0.688557555
7;2/4/15 12:00 AM;"Quarter1";"sweing";"Wednesday";11;0.7;10.05;1042.0;6120.0;8.86;60.0;0.0;0.0;0.0;53.0;0.39918207562728925;41.29847995354355;808.8609972285418;41.697662029170836;809.2601793041691;0.7002788459999999
8;2/11/15 12:00 AM;"Quarter2";"finishing";"Wednesday";8;0.35;4.15;1186.417033773862;1440.0;5.43;0.0;0.0;0.0;0.0;12.0;0.07262545084520433;31.306051113481214;875.4288429239225;31.37867656432642;875.5014683747677;0.994375
9;1/17/15 12:00 AM;"Quarter3";"finishing ";"Saturday";10;0.8;3.94;1186.417033773862;1440.0;4.21;0.0;0.0;0.0;0.0;8.0;0.11033033138489912;58.27489100608757;935.9064514293759;58.38522133747247;936.0167817607609;0.9746212120000001
10;1/11/15 12:00 AM;"Quarter2";"sweing";"Sunday";12;0.8;11.61;896.0;5670.0;1.14;50.0;0.0;0.0;0.0;31.5;0.7449876710743651;58.744315084013074;880.99676154566;59.48930275508744;881.7417492167343;0.8002467529999999
11;1/25/15 12:00 AM;"Quarter4";"sweing";"Sunday";14;0.7;22.94;1682.0;10530.0;3.55;75.0;0.0;0.0;0.0;58.5;0.6954780770641324;40.61984783963497;892.5653577674398;41.3153259166991;893.2608358445038;0.20022740225000002
12;1/20/15 12:00 AM;"Quarter3";"sweing";"Tuesday";3;0.7;22.52;1134.0;8460.0;2.99;50.0;0.0;0.0;0.0;57.0;0.831353796029221;49.24981768186518;867.6429551929195;50.0811714778944;868.4743089889488;0.750037968
13;3/9/15 12:00 AM;"Quarter2";"sweing";"Monday";7;0.5;30.48;1161.0;6600.0;4.09;0.0;0.0;0.0;1.0;55.0;0.7163377346861831;46.06203913226393;866.7885295843929;46.77837686695012;867.504867319079;0.5006109089999999
14;3/10/15 12:00 AM;"Quarter2";"finishing";"Tuesday";5;0.6;3.94;1186.417033773862;1440.0;9.42;0.0;0.0;0.0;0.0;12.0;0.36971915319660753;63.05656538935568;878.50038489199;63.42628454255229;878.8701040451866;0.9093916670000001
15;1/18/15 12:00 AM;"Quarter3";"sweing";"Sunday";8;0.8;25.9;1288.0;10170.0;5.91;38.0;0.0;0.0;0.0;56.5;0.12753453074811716;28.838857744156854;880.875700885803;28.966392274904972;881.0032354165511;0.800128721
16;2/22/15 12:00 AM;"Quarter4";"finishing";"Sunday";14;0.8;5.13;1186.417033773862;4800.0;9.62;0.0;0.0;0.0;0.0;20.0;0.1400852147715974;60.25996873428767;863.0206612854712;60.40005394905926;863.1607465002428;0.207515625
